Large packages take more service time,,,,,,,,,,,Service Times Frequencies
"Nov 28, 2022 (Monday)",5:00pm-7:00pm,,"*Columns D-G are matched to same student by row, columns A-B are also matched with each other by row",,,,,,,,1
Arrival Times,"Note if there is a staff change (If number of employees working changes, mark the change as 1, 2, or 1 and 2 (example: 1 and 2 would indicate the change is that the employees now both work))",Premature Departures,Departure Times,X if Employee 1 Serviced,X if Employee 2,"Service Times + Service Type (netID vs package vs mail, etc.)",,,,,1
5:02,2 start,5:14,5:02,,X,N/A (arrived before data collection period started),Package,,,,1
5:04,1,5:23,5:06,X,,1 min Package (red envelope),,,,,2
5:05,1,5:46,5:07,X,,1 min Package,,,,,2
5:06,1,5:46,5:07,X,,1 min Package,,,,,6
5:06,1,5:51,5:09,X,,2 min Package,,,,,4
5:06,2,6:08,5:11,X,,2 min Package,,,,,5
5:07,2,6:24,5:12,,X,6 min non-Package (maybe netID),,,,,4
5:08,2,6:25,5:15,X,,4 min Package (Thin Envelope Shape),,,,,3
5:08,2,6:25,5:17,,X,5 min Non-Package (looked through binder?),,,,,1
5:10,2,6:27,5:19,X,,4 min Package,,,,,2
5:11,2,6:27,5:20,,X,3 min Package,,,,,1
5:12,2,6:27,5:21,,X,1 min Thin Envelope,,,,,1
5:13,2,6:30,5:21,X,,2 min Thin Envelope,,,,,1
5:13,2,6:35,5:22,,X,1 min Package,,,,,4
5:14,2,,5:24,,X,1 min Package,,,,,6
5:15,2,,5:24,,X,<1 min Package,,,,,1
5:16,2,,5:25,X,,4 min Package,,,,,3
5:17,2,,5:31,X,,"6 min Package (looked through binder, seemed to be issues?)",,,,,2
5:18,2,,5:32,X,,1 min Package,,,,,1
5:18,2,,5:35,X,,3 min Package,,,,,1
5:19,2,,5:37,X,,2 min Small Package,,,,,3
5:20,2,,5:38,X,,1 min Package,,,,,1
5:21,2,,5:39,X,,"1 min, Arrived with package + used tape roll-- sent package? Could not see well",,,,,1
5:21,2,,5:41,,X,3 min Package,,,,,4
5:22,2,,5:42,,X,<1 min Package,,,,,1
5:22,2,,5:42,,X,< 1 min Package,,,,,2
5:24,2,,5:43,X,,4 min Package,,,,,2
5:24,2,,5:43,,X,< 1 min Package (bag?),,,,,2
5:24,2,,5:45,X,,2 min Package,,,,,7
5:25,2,,5:47,X,,2 min Package,,,,,1
5:27,2,,5:49,X,,2 min Package,,,,,2
5:28,2,,5:50,,X,7 min Package,,,,,2
5:28,2,,5:50,X,,1 min Package,,,,,1
5:29,2,,5:52,X,,2 min Package,,,,,1
5:29,1,,5:52,,X,2 min Package (large bag of chips?),,,,,2
5:32,1,,5:53,X,,1 min Package,,,,,1
5:32,1,,5:53,,X,1 min Package,,,,,4
5:33,1,,5:55,X,,2 min Package,,,,,4
5:34,1,,5:56,X,,1 min Package,,,,,2
5:35,1,,5:57,,X,4 min Package,,,,,1
5:35,1,,6:01,-,X,4 min Package,,,,,0.5
5:36,2,,6:03,-,X,2 min Package,,,,,2
5:38,2,,6:04,-,X,1 min Package,,,,,1
5:39,2,,6:04:30 AM,-,X,0.5 min Package,,,,,3
5:41,2,,6:06,,X,2 min Package,6:05 Staff1 Back on Available,,,,3
5:42,2,,6:07,,X,1 min Package,,,,,0.5
5:42,2,,6:08,X,,3 min Package,,,,,0.5
5:42,2,,6:10,,X,3 min Package,,,,,4
5:43,2,,6:10:30,,X,0.5 min Package,,,,,1
5:44,2,,6:11,,X,0.5 min Package,,,,,3
5:44,2,,6:12,X,,"4 min (card, key, unknown)",,,,,2
,,,6:13,X,,"1 min (mail, package)",,,,,0.5
5:44,1,,6:14,,X,3 min Package,,,,,1
5:46,1,,6:15,X,,2 min Package,,,,,1
5:48,1,,6:15:30,X,,0.5 min Package,,,,,1
5:48,1,,6:15,,X,1 min Package,,,,,2
5:49,1,,6:16,,X,1 min Mail,,,,,1
5:49,1,,6:17,,X,1 min Package,,,,,1
5:50,2,,6:17,X,,2 min Package,,,,,0.5
5:52,2,,6:18,X,,1 min Package,,,,,0.5
5:52,2,,6:18,,X,1 min package,,,,,1
5:53,2,,6:18:30,,X,0.5 min package,,,,,2
5:53,2,,6:19,,X,0.5 min package,,,,,5
5:53,2,,6:20,,X,1 min package,,,,,2
5:54,2,,6:22,,X,2 min package,,,,,2
5:56,2,,6:23,X,,5 min package,,,,,1
5:56,2,,6:24,,X,2 min package,,,,,1
5:59,2,,6:25 (2),X,,2 min package,,,,,1
5:59,1,,6:25,,X,1 min package,,,,,1
6:01,1,,6:26 (2),X,,1 min package,,,,,1
6:01,1,,6:26,,X,1 min package,,,,,1
6:01,1,,6:27,,X,1 min package,,,,,1
6:06,2,,6:27,X,,1 min package,,,,,1
6:07,2,,6:28,X,,1 min mail,,,,,1
6:07,2,,6:28,,X,1 min package,,,,,1
6:08,2,,6:29,,X,1 min mail,,,,,3
6:08,2,,6:30,,X,1 min package (bag),,,,,1
6:09,2,,6:31,,X,1 min package,,,,,2
6:09,2,,6:31,X,,3 min package,,,,,4
6:09,2,,6:32,,X,1 min package,,,,,2
6:09,2,,6:34,,X,2 min package,,,,,1
6:09,2,,6:35,X,,4 min package,,,,,1
6:12,2,,6:36 (2),,X,2 min package,,,,,1
6:16,2,,6:36,X,,1 min package,,,,,1
6:16,2,,6:37,,X,1 min package,,,,,1
6:16,2,,6:37,X,,1 min package,,,,,2
,,,6:38 (3),,X,1 min package,,,,,1
6:20,2,,6:39,,X,1 min package,,,,,1
6:20,2,,6:39,X,,2 min package,,,,,2
6:20,2,,6:40,X,,1 min package,,,,,1
6:23,2,,6:41,X,,1 min package,,,,,0.5
6:24,2,,6:41,,X,2 min package,,,,,2
6:24,2,,6:42,X,,1 min package,,,,,2
6:24,2,,6:42,X,,0.5 min package,,,,,2
6:24,2,,6:43,,X,2 minute package,,,,,2
6:24,2,,6:44,X,,2 min package,,,,,1
6:25,2,,6:44,,X,2 min package,,,,,2
6:25,2,,6:46,,X,2 min package,,,,,1
6:25,2,,6:47,,X,1 min package,,,,,7
6:27,2,,6:49,,X,2 min package,,,,,1
6:27,2,,6:50,,X,1 min package,,,,,1
6:28,2,,6:51,X,,7 min p,,,,,2
6:30,2,,6:51,,X,1 min package,,,,,1
6:32,2,,6:52,,X,1 min p,,,,,2
6:33,2,,6:53,X,,2 min p,,,,,2
6:33,2,,6:53,,X,1 min p ,,,,,1
6:36,2,,6:55 (2),X,,2 min p,,,,,1
6:36,2,,6:55,,X,2 min p,,,,,1
6:37,2,,6:56,X,,1 min p,,,,,2
6:37,2,,6:56,,X,1 min p,,,,,2
6:37,2,,6:57,,X,1 min p,,,,,1
6:37,2,,6:58,X,,2 min p,,,,,1
6:37,2,,6:59,,X,2 min p,,,,,
6:37,2,,6:59,X,,1 min p,,,,,
6:37,2,,7:00,X,,1 min p,,,,,
6:37,2,,12 in line,,,,,,,,
6:38,2,,,,,,,,,,
6:38,2,,,,,,,,,,
6:38,2,,,,,,,,,,
6:39,2,,,,,,,,,,
6:40,2,,,,,,,,,,
6:40,2,,,,,,,,,,
6:40,2,,,,,,,,,,
6:40,2,,,,,,,,,,
6:40,2,,,,,,,,,,
6:42,2,,,,,,,,,,
6:44,2,,,,,,,,,,
6:44,2,,,,,,,,,,
6:44,2,,,,,,,,,,
6:46,2,,,,,,,,,,
6:46,2,,,,,,,,,,
6:48,2,,,,,,,,,,
6:48,2,,,,,,,,,,
6:49,2,,,,,,,,,,
6:51,2,,,,,,,,,,
6:52,2,,,,,,,,,,
6:53,2,,,,,,,,,,
6:54,2,,,,,,,,,,
6:54,2,,,,,,,,,,
6:57,2,,,,,,,,,,
6:58,2,,,,,,,,,,
6:58,2,,,,,,,,,,